model,threshold,cost,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1
XGBoost,0.30847953216374263,2748.0,1664,1868,176,792,0.29774436090225564,0.8181818181818182,0.43660418963616315
XGBoost,0.31345029239766076,2744.0,1693,1839,181,787,0.2996953541507997,0.8130165289256198,0.43795214245965497
XGBoost,0.31842105263157894,2751.0,1726,1806,189,779,0.3013539651837524,0.8047520661157025,0.4385026737967914
XGBoost,0.32339181286549706,2730.0,1762,1770,192,776,0.30479183032207385,0.8016528925619835,0.4416619237336369
XGBoost,0.3283625730994152,2732.0,1795,1737,199,769,0.3068635275339186,0.7944214876033058,0.44271732872769143
XGBoost,0.3333333333333333,2704.0,1838,1694,202,766,0.31138211382113823,0.7913223140495868,0.4469078179696616
XGBoost,0.33830409356725144,2700.0,1867,1665,207,761,0.3136850783182193,0.7861570247933884,0.44843842074248674
XGBoost,0.34327485380116957,2689.0,1898,1634,211,757,0.3166039314094521,0.7820247933884298,0.45072938374516225
XGBoost,0.3482456140350877,2691.0,1931,1601,218,750,0.31901318587834965,0.7747933884297521,0.4519433564326604
XGBoost,0.3532163742690058,2676.0,1971,1561,223,745,0.3230702515177797,0.7696280991735537,0.45510079413561394
XGBoost,0.35818713450292394,2682.0,2000,1532,230,738,0.3251101321585903,0.762396694214876,0.4558369363804818
XGBoost,0.36315789473684207,2673.0,2029,1503,234,734,0.32811801519892714,0.7582644628099173,0.45803432137285494
XGBoost,0.3681286549707602,2683.0,2064,1468,243,725,0.33059735522115824,0.7489669421487604,0.45871559633027525
XGBoost,0.3730994152046783,2680.0,2097,1435,249,719,0.33379758588672237,0.7427685950413223,0.4606021780909673
XGBoost,0.37807017543859645,2717.0,2125,1407,262,706,0.33412210127780406,0.7293388429752066,0.45829276209023045
XGBoost,0.38304093567251457,2734.0,2148,1384,270,698,0.33525456292026895,0.7210743801652892,0.4577049180327869
XGBoost,0.3880116959064327,2723.0,2174,1358,273,695,0.3385289819775938,0.7179752066115702,0.46011254551473024
XGBoost,0.3929824561403508,2737.0,2195,1337,280,688,0.3397530864197531,0.7107438016528925,0.4597393919144671
